Title,Author,Year,Download Link,Language
"Afro-Romance Writers SeriesAn Introduction to the Literature of Equatorial Guinea: Between Colonialism and Dictatorship 0826217133, 9780826217134",Marvin A. Lewis,2007,https://download.library.lol/main/1643000/ba88a67edd4b7eac4cdfafd4140e9bb9/%28Afro-Romance%20Writers%20Series%29%20Marvin%20A.%20Lewis%20-%20An%20Introduction%20to%20the%20Literature%20of%20Equatorial%20Guinea_%20Between%20Colonialism%20and%20Dictatorship-University%20of%20Missouri%20%282007%29.pdf,English
"The secret of secrets : the scholarly career of a pseudo-Aristotelian text in the Latin Middle Ages 9780472113088, 0472113089",Steven J. Williams,2003,https://download.library.lol/main/1679000/d61be0d27539fd9e0606ae1ac2f0dce2/Steven%20J.%20Williams%20-%20The%20secret%20of%20secrets%20_%20the%20scholarly%20career%20of%20a%20pseudo-Aristotelian%20text%20in%20the%20Latin%20Middle%20Ages-University%20of%20Michigan%20Press%20%282003%29.pdf,English
"Phoenix Supplementary Volumes 45Virginity Revisited: Configurations of the Unpossessed Body 0802090133, 9780802090133","Judith Fletcher, Bonnie MacLachlan",2007,https://download.library.lol/main/1680000/1b8d8b1590ce4d024f6d3a8ed78d6e9a/%28Phoenix%20Supplementary%20Volumes%2045%29%20Judith%20Fletcher%2C%20Bonnie%20MacLachlan%20-%20Virginity%20Revisited_%20Configurations%20of%20the%20Unpossessed%20Body-University%20of%20Toronto%20Press%20%282007%29.pdf,English
"The Syntax of Desire: Language and Love in Augustine, the Modistae, Dante 0802090702, 9780802090706",Elena Lombardi,2007,https://download.library.lol/main/1680000/a704a32901b0145518351337da95bab0/Elena%20Lombardi%20-%20The%20Syntax%20of%20Desire_%20Language%20and%20Love%20in%20Augustine%2C%20the%20Modistae%2C%20Dante-University%20of%20Toronto%20Press%20%282007%29.pdf,English
"University of Toronto Romance SeriesThe Writing in the Stars: A Jungian Reading of the Poetry of Octavio Paz 0802090842, 9780802090843",Rodney Williamson,2007,https://download.library.lol/main/1680000/45ddadcd76972f5450277e4e5ce2cf6c/%28University%20of%20Toronto%20Romance%20Series%29%20Rodney%20Williamson%20-%20The%20Writing%20in%20the%20Stars_%20A%20Jungian%20Reading%20of%20the%20Poetry%20of%20Octavio%20Paz-University%20of%20Toronto%20Press%20%282007%29.pdf,English
"Fiction Sets You Free: Literature, Liberty, and Western Culture 1587296047, 9781587296048",Russell A. Berman,2007,https://download.library.lol/main/1680000/a159be09898729e6450528cef8855b55/Russell%20A.%20Berman%20-%20Fiction%20Sets%20You%20Free_%20Literature%2C%20Liberty%2C%20and%20Western%20Culture-University%20of%20Iowa%20Press%20%282007%29.pdf,English
La letteratura in gioco : Un approccio ludico alla didattica della letteratura nella classe di lingua 978-1-60962-080-6,Barbara Dell’Abate-Çelebi,2016,https://download.library.lol/main/1681000/2e320d4efaa091218d93a0816b85eca5/Barbara%20Dell%E2%80%99Abate-%C3%87elebi%20-%20La%20letteratura%20in%20gioco%20_%20Un%20approccio%20ludico%20alla%20didattica%20della%20letteratura%20nella%20classe%20di%20lingua-Zea%20Books%20%282016%29.pdf,English
Booklife: Strategies and Survival Tips for the 21st-Century Writer 9781892391728 1892391724,Jeff VanderMeer et al.,2013,https://download.library.lol/main/1681000/13bc410e139f7b0275b6e108edee9deb/Jeff%20VanderMeer%20et%20al.%20-%20Booklife_%20Strategies%20and%20Survival%20Tips%20for%20the%2021st-Century%20Writer-Tachyon%20Publications%20%282013%29.epub,English
"Cliffs notes onJoyce’s A portrait of the artist as a young man 9780822010579, 0822010577",Katherine A. Lilly,2000,https://download.library.lol/main/1681000/6be6d6ae1a16b076d7e58bad354c89ac/%28Cliffs%20notes%20on%29%20Katherine%20A.%20Lilly%20-%20Joyce%E2%80%99s%20A%20portrait%20of%20the%20artist%20as%20a%20young%20man-Cliffs%20Notes%20%282000%29.pdf,English
"Cliffs notes onBeowulf : notes 9780585138244, 0585138249, 9780822002284, 0822002280",Elaine Strong Skill,1999,https://download.library.lol/main/1681000/cb3868c3763e04405aa183c111fb595d/%28Cliffs%20notes%20on%29%20Elaine%20Strong%20Skill%20-%20Beowulf%20_%20notes-Cliffs%20Notes%20%281999%29.pdf,English
